Row,Client,Service Order,New Service order,Engine Type,ESN,SOW,QTY,Part Name,Applicant,Part No.,Actual End,Cleaning,Inspection,Repair & Coating,Status,Remarks
130,Pars Air,,560235,CF34,,"Cleaning, Inspection, Repair",26,HPT Nozzle segment stg 2,معاونت کسب و کار,5099T23G08,5/1/2025,Completed,Completed,Completed,Completed,"24  تعم?ر?- 24 عدد به مشتر? تحو?ل شده است. 2 عدد در مرحله بر?ز?نگ، مدارک برا? 24 عدد تکم?ل گرد?د."
131,Qeshm ,,560214,CFM56-5B4/P,779221,Cleaning,272,"Blade, lock blade, …",Engine Shop,List,11/10/2024,Completed,,,Completed,پا?ان تم?زکار?
132,Qeshm ,,560208,CFM56-5B4/P,779213,Cleaning,2049,Standard Parts,Engine Shop,List,11/10/2024,Completed,,,Completed,پا?ان تم?زکار?
133,GT 22,,,,,Cleaning,9,"Nut, locked, seal, ..",Engine design,List,28/09/24,Completed,,,Completed,پا?ان تم?زکار?
134,Iran Air tour,,560229,JT8D,725979,"Cleaning, Inspection, Repair",64,Blade hpt stg1,معاونت کسب و کار,855901-856101-843901-002,,Completed,Completed,,,"پا?ان بازرس?، در مرحله تعم?ر در NVO. جاب کارد تعم?ر آماده است."
135,Iran Air tour,,560098,JT8D,725802,"Cleaning, Inspection, Repair",64,Blade-turb motor stg 1,معاونت کسب و کار,856101-843901,,Completed,Completed,,,"پا?ان بازرس?، در مرحله تعم?ر در NVO. جاب کارد تعم?ر آماده است."
136,Pars Air,,560232,CF34,,"Cleaning, Inspection, Repair",39,Segment turbine nozzle stg 1&2,,"5099T19G04, 4923T36G01, 4923T36G02 , 5099T23G07",,Completed,Completed,,,"در مرحله تعم?ر، جاب کارد تعم?ر ارسال شده است . 3 عدد مورخ 1403/11/06 جهت سوپردر?ل خارج گرد?د."
137,Iran Air tour,S-10003,560002,JT8D-217A      ,717412,Inspection (FPI),2,"LPT Disk stg 2, 3",Engine Construct,"777603, 800804",22/09/24,Completed,Completed,,Completed,پا?ان بازرس?
139,Purchased parts,,520026,,,Inspection,43,LLP,,,,,,,Cancelled,
140,GT 25,,,,,Coating 3mm,6,Disk,Engine design,,29/11/24,,,Completed,,پا?ان کار تعم?رات
142,Air 1 ,S-10018,560017,CFM56-3C1,858719,"Cleaning, Inspection, Repair",3,"LINER, INNER , LINER, OUTER, DOME",Engine Shop ,"1317M89G08, 1317M90G04, 1317M58G02",16/10/24,Completed,,,Cancelled,
