,,,,,,,,,,,,Effective Dates,,,,,,,,
Row,Client,Service Order,New Service order,Engine Type,ESN,SOW,QTY,Part Name,Applicant,Part No.,Month,Recieveing Email ,Entry to Warehouse ,Actual End,Cleaning,Inspection,Repair & Coating,Inspection After Repair,Status,Remarks
93,Kish air,-,560185,JT8D,,"Cleaning, Inspection",146,LPT Blade stg 3 & 4,„⁄«Ê‰  ò”» Ê ò«—,"798403, 822504",10,7/7/2024,29/06/24,13/10/24,Completed,Completed,Completed,Completed,Completed, ÕÊ?· »Â „‘ —?. Ã«» ò«—œ  ⁄„?—  Ê”ÿ Œ«‰„ ò·«‰ —? ¬„«œÂ ‘œÂ «” .
94,Fars Co 4th (Kish),S-10022,560021,JT8D,,"Cleaning, Inspection, Repair",82,LPT Blade stg 3,„⁄«Ê‰  ò”» Ê ò«—,798403,5,9/7/2024,12/6/2024,14/05/25,Completed,Completed,Completed,Completed,Completed,.  „ÃÊ“  Œ—?» »—«? ”Â ﬁÿ⁄Â OL ê—› Â ‘œ. Ã«» ò«—œ  ⁄„?— œ«—œ.  √??œ  ⁄„?—  Ê”ÿ ò«—›—„«. «—”«· ﬁÿ⁄«  »Â NVO „Ê—Œ 1403/11/24
95,GT 20,,,,,Cleaning,80,HPT balde,Engine Design,M79G01 ( 2080M81P01),8,9/7/2024,3/8/2024,19/08/24,Completed,,,,Completed,Å«?«‰  „?“ò«—?
96,Air 1,S-10018,560017,CFM56-3C1,,"Cleaning, inspection, Repair",13,"HPT Seal, Cover Assy, Ö",Engine Shop,List,5,14/07/24,24/07/24,,Completed,Completed,,,,"Å«?«‰ »«“—”?° Ã«» ò«—œ  ⁄„?— Â— œÊ ﬁÿ⁄Â »Â  ⁄„?—«  «»·«€ ê—œ?œ."
97,Air 1,S-10014,560013,CFM56-3C1,,"Cleaning, inspection, Repair",3,"Screen Thermal, Cone spinner",Engine Shop,List,5,14/07/24,24/07/24,,Completed,Completed,,,,Å«?«‰ »«“—”?.Ã«» ò«—œ  ⁄„?— Cone Spinner Ê Thermal »Â ò«—ê«Â «»·«€ ê—œ?œÂ «” . ⁄œ„ «„ò«‰  ⁄„?—  Cone Ê ⁄Êœ  »Â ›—œ?”- œ— «‰ Ÿ«—  √„?‰ ›?·— Ã‰” S.S 321 ?« 347  ÃÂ   ⁄„?— ﬁÿ⁄Â Thermal
98,Iran Air tour,S-10003,560002,JT8D,,"Cleaning Inspection, Repair",111,"Ring Assy, Duct, Spacer",„⁄«Ê‰  ò”» Ê ò«—,List,10,14/07/24,20/07/24,5/10/2024,Completed,Completed,,,Completed,‰ «?Ã »«“—”? «—”«· ê—œ?œ.
99,Zagros,-,560162,JT8D,,Cleaning,466,"Disk, Case, standard, Ö",Engine Shop,List,8,24/07/24,24/07/24,10/9/2024,Completed,,,,Completed,Å«?«‰  „?“ò«—?
100,Sepahan,S-10019,560018,CFM56-5A,731878,"Cleaning, FPI (2-3-4)",211,"Damper, Shaft, Seal , Disk, ...",Engine Shop,List,8,24/07/24,24/07/24,19/09/24,Completed,Completed,,,Completed,"«»·«€  „?“ò«—?° Å«?«‰ FPI° œ— „—Õ·Â  „?“ò«—? Å” «“ FPI"
101,Zagros,560161,560161,JT8D-217C,,Cleaning,244,"Vane, Blade, Ring Assy, Ö",Engine Shop,List,8,29/07/24,24/07/24,10/9/2024,Completed,,,,Completed,Å«?«‰  „?“ò«—?
102,Air 1,560097,560097,CFM56-3C1,,Cleaning,930,"CC, Nozzle, Shroud, Ö",Engine Shop,List,10,29/07/24,24/07/24,17/10/24,Completed,,,,Completed,"‘—Ê⁄  „?“ò«—?° »·?œ Â« œ— „—Õ·Â Ê  »·«” "
105,Air 1,,560097,CFM56-3C1,858594,Cleaning,2982,Standard Parts,Engine Shop,List,8,10/8/2024,1/9/2024,11/9/2024,Completed,,,,Completed,Å«?«‰  „?“ò«—?
110,Sepahan,S-10019,,CFM56-5A,731878,Cleaning,1,"FRAME, ASSY-LPT",Engine Shop,336-031-631-0,8,15/08/24,1/9/2024,10/9/2024,Completed,,,,Completed,Å«?«‰  „?“ò«—?
111,Qeshm ,,560208,CFM56-5B4/P,779213,Cleaning,107,"Liner, Dome, Shroud, Blade",Engine Shop,List,10,15/08/24,1/9/2024,30/09/24,Completed,,,,Completed,Å«?«‰  „?“ò«—?
113,Fars Co 8th ,,560210,JT8D-219,725839,"Cleaning, Inspection, Repair",64,1th stg. HPT  Blade,„⁄«Ê‰  ò”» Ê ò«—,"856101, 830701-003",2,17/08/24,28/07/24,23/02/25,Completed,Completed,Completed,Completed,Completed,"Å«?«‰ »«“—”?° ﬁÿ⁄«   ÕÊ?· NVO° Å«?«‰  ⁄„?— Ê  ÕÊ?· »Â  «»«‰"
114,Fars Co 8th ,,560211,JT8D,717475,"Cleaning, Inspection, Repair",88,3rd stg. HPT  Blade,„⁄«Ê‰  ò”» Ê ò«—,803003,8,17/08/24,28/07/24,31/08/24,Completed,Completed,,,Completed, „?“ò«—? «‰Ã«„ ‘œÂ «” . Å«?«‰ »«“—”?  „«„ ﬁÿ⁄«  OL
115,ATA,,560223,JT8D,725883†† ,"Cleaning, Inspection, Repair",146,3rd & 4th stg LPT Blade,„⁄«Ê‰  ò”» Ê ò«—,"798403, 822504",10,17/08/24,14/08/24,23/10/24,Completed,Completed,Completed,Completed,Completed,"Å«?«‰  ⁄„?—°  ÕÊ?· »Â „‘ —?"
116,Esfahan,,,AC-P4,,Cleaning,2,"Torus assembly, outlet", ÃÂ?“«  Ã«‰»?,,8,17/08/24,28/08/24,31/08/24,Completed,,,,Completed,Å«?«‰  „?“ò«—?
117,Purchased parts,,,CF6-80C2,,Inspection,276,HPT Shroud stg 1 & 2,,List,9,5/8/2024,5/8/2024,15/09/24,,Completed,,,Completed, „«„ ﬁÿ⁄«  œ— Ê÷⁄?  serviceable Ê ’œÊ— ›—„ 1
119,Iran Air tour,,560098,JT8D-219,725802,"Cleaning, DT, FPI",74,LPT Blade Stage 2 ,Engine Shop 2,800002,10,28/08/24,28/08/24,29/09/24,Completed,Completed,,,Completed," „?“ò«—?° FPI Ê »«“—”? «»⁄«œ? «‰Ã«„ ‘œÂ «” . ‰ «?Ã ‘ò”  «—”«· ê—œ?œ."
120,Iran Air tour,,560229,JT8D-219,725979,"Cleaning, Inspection",146,LPT Blade stg 3 & 4,Engine Shop 2,"798403, 822504",2,28/08/24,28/08/24,1/2/2025,Completed,Completed,Completed,Completed,Completed,"Å«?«‰ »«“—”? Ê «—”«· »Â NVO ÃÂ   ⁄„?—° Å«?«‰  ⁄„?—"
121,Taban,,560209,JT8D-219,725441,"Cleaning, Inspection",146,LPT Blade stg 3 & 4,Engine Shop 2,"798403, 822504",2,28/08/24,28/08/24,23/02/25,Completed,Completed,Completed,Completed,,"Å«?«‰ »«“—”? Ê «—”«· »Â NVO ÃÂ   ⁄„?—° Å«?«‰  ⁄„?—°  ÕÊ?· ﬁÿ⁄«  »Â  «»«‰"
122,Qeshm ,S-10011,560010,CF6-80C2A5,695362,"Cleaning, Inspection, Repair",24,HPT NGV Stg 2,Engine Shop 2,"2080M12G01, 2080M12G02",5,28/08/24,31/08/24,,Completed,Completed,,,, „?“ò«—? «‰Ã«„ ‘œÂ «” . œ— „—Õ·Â »«“—”? ç‘„? «”òÊÅ Ê Ã«» ò«—œ  ⁄„?—œ«—œ. œ— «‰ Ÿ«—  √??œ?Â ‘«Å 2 »—«?  ⁄„?—
123,Qeshm ,S-10011,560010,CF6-80C2A5,695372,"Cleaning, Inspection, Repair",74,BLADE HPTSTG 2,Engine Shop 2,1881M5205,5,28/08/24,31/08/24,,Completed,Completed,,,,"Å«?«‰ »«“—”? Ê ’›  œÊ?‰ Ã«» ò«—œ  ⁄„?—° œ— «‰ Ÿ«—  √??œ?Â ‘«Å 2 »—«?  ⁄„?—"
124,Qeshm ,,560214,CFM56-5B4/P,779221,Cleaning,147,"Disk, seal, nozzle, Ö",Engine Shop,List,8,31/08/24,30/08/24,10/9/2024,Completed,,,,Completed,Å«?«‰  „?“ò«—?
125,Meraj,S-10006,560005,CFM56-5B5/P,575649,"Cleaning, Inspection, Repair",83,"HPT Blade, HPT Nozzle",Engine Shop,"1957M10P01, 2086M14G02",5,28/08/24,30/08/24,,Completed,Completed,,,," „?“ò«—? Ê Ê  »·”  «‰Ã«„ ‘œÂ «” . Å«?«‰ »«“—”?° «—”«· 71 ⁄œœ ﬁÿ⁄Â »Â ‰„«?‰œÂ NVO Messenger Agency  ÃÂ   ⁄„?—°⁄œ„ «„ò«‰  ⁄„?— ”Â ⁄œœ Ê?‰ œ— „⁄«Ê‰ . 5 ⁄œœ »·?œ ⁄Êœ  ÃÂ  »«“—”? Å” «“  ⁄„?—"
126,‰„«?‘ê«Â?,,,,,Cleaning,45,"Disk, Vane, Blade, Ö",Engine Shop 2,,9,8/9/2024,8/9/2024,14/09/24,Completed,,,,Completed,Å«?«‰  „?“ò«—?
127,GT 20,,,CFM56-5C,,Cleaning,7,"HPT Disk, LPT Disk stg 1, LPT Blade stg 1",Engine Design,"1498M34P04, 3371277120, 337004030",9,9/9/2024,16/09/24,22/09/24,Completed,,,,Completed,Å«?«‰  „?“ò«—?
129,Iran Air tour,,560231,JT8D,,"Cleaning, Inspection, Repair",7,LPT Blade stg 3 & 4,„⁄«Ê‰  ò”» Ê ò«—,"803003, 851704",5,11/9/2024,11/9/2024,,Completed,Completed,,,,"Å«?«‰ »«“—”?°  «—”«· »Â NVO ÃÂ   ⁄„?—. Ã«» ò«—œ  ⁄„?— ¬„«œÂ «” .  ÕÊ?· ”Â ⁄œœ »Â «?— Ê—"
130,Pars Air,,560235,CF34,,"Cleaning, Inspection, Repair",26,HPT Nozzle segment stg 2,„⁄«Ê‰  ò”» Ê ò«—,5099T23G08,12,12/9/2024,12/9/2024,5/1/2025,Completed,Completed,Completed,Completed,Completed,"24   ⁄„?—?- 24 ⁄œœ »Â „‘ —?  ÕÊ?· ‘œÂ «” . 2 ⁄œœ œ— „—Õ·Â »—?“?‰ê° „œ«—ò »—«? 24 ⁄œœ  ò„?· ê—œ?œ."
131,Qeshm ,,560214,CFM56-5B4/P,779221,Cleaning,272,"Blade, lock blade, Ö",Engine Shop,List,10,15/09/24,24/09/24,11/10/2024,Completed,,,,Completed,Å«?«‰  „?“ò«—?
132,Qeshm ,,560208,CFM56-5B4/P,779213,Cleaning,2049,Standard Parts,Engine Shop,List,10,15/09/24,24/09/24,11/10/2024,Completed,,,,Completed,Å«?«‰  „?“ò«—?
133,GT 22,,,,,Cleaning,9,"Nut, locked, seal, ..",Engine design,List,9,16/09/24,19/09/24,28/09/24,Completed,,,,Completed,Å«?«‰  „?“ò«—?
134,Iran Air tour,,560229,JT8D,725979,"Cleaning, Inspection, Repair",64,Blade hpt stg1,„⁄«Ê‰  ò”» Ê ò«—,855901-856101-843901-002,5,14/09/24,14/09/24,,Completed,Completed,,,,"Å«?«‰ »«“—”?° œ— „—Õ·Â  ⁄„?— œ— NVO. Ã«» ò«—œ  ⁄„?— ¬„«œÂ «” ."
135,Iran Air tour,,560098,JT8D,725802,"Cleaning, Inspection, Repair",64,Blade-turb motor stg 1,„⁄«Ê‰  ò”» Ê ò«—,856101-843901,5,17/09/24,14/09/24,,Completed,Completed,,,,"Å«?«‰ »«“—”?° œ— „—Õ·Â  ⁄„?— œ— NVO. Ã«» ò«—œ  ⁄„?— ¬„«œÂ «” ."
136,Pars Air,,560232,CF34,,"Cleaning, Inspection, Repair",39,Segment turbine nozzle†stg 1&2,,"5099T19G04, 4923T36G01, 4923T36G02 , 5099T23G07",5,15/09/24,15/09/24,,Completed,Completed,,,,"œ— „—Õ·Â  ⁄„?—° Ã«» ò«—œ  ⁄„?— «—”«· ‘œÂ «”  . 3 ⁄œœ „Ê—Œ 1403/11/06 ÃÂ  ”ÊÅ—œ—?· Œ«—Ã ê—œ?œ."
137,Iran Air tour,S-10003,560002,JT8D-217A†††† †,717412,Inspection (FPI),2,"LPT Disk stg 2, 3",Engine Construct,"777603, 800804",9,18/09/24,18/09/24,22/09/24,Completed,Completed,,,Completed,Å«?«‰ »«“—”?
139,Purchased parts,,520026,,,Inspection,43,LLP,,,10,25/09/24,25/09/24,,,,,,Cancelled,
140,GT 25,,,,,Coating 3mm,6,Disk,Engine design,,12,25/09/24,30/09/24,29/11/24,,,Completed,Completed,,Å«?«‰ ò«—  ⁄„?—« 
142,Air 1 ,S-10018,560017,CFM56-3C1,858719,"Cleaning, Inspection, Repair",3,"LINER, INNER , LINER, OUTER, DOME",Engine Shop ,"1317M89G08, 1317M90G04, 1317M58G02",10,29/09/24,7/10/2024,16/10/24,Completed,,,,Cancelled,
143,Air 1,,560097,CFM56-3C1,858594,"Cleaning, Inspection, Repair",3,"LINER, INNER , LINER, OUTER, DOME",Engine Shop ,"1317M89G04, 1317M90G04, 1317M91G02",10,29/09/24,7/10/2024,16/10/24,Completed,,,,Cancelled,
144,KISH AIR,5026297,560117,CFM56-5B3/P,577867,"Cleaning, Inspection",2,"Support shroud, Case",Engine Shop,"2002M69G02, 1784M91G07",5,30/09/24,15/10/24,14/05/25,Completed,Completed,,,Completed,"Å«?«‰ »«“—”?° œ— «‰ Ÿ«—  √??œ «”òÊÅ  ⁄„?—  Ê”ÿ ò«—›—„«"
145,Qeshm,,560208,CFM56-5B4/P,779213,"Cleaning, Inspection (FPI)",30,Nut,Engine Shop,1498M58P01,9,30/09/24,30/09/24,1/10/2024,Completed,Completed,,,Completed,Å«?«‰ »«“—”?
148,GT 31,,,,,Cleaning,55,Standard Parts,Engine Design,,10,5/10/2024,13/10/24,14/10/24,Completed,,,,Completed,Å«?«‰  „?“ò«—?
149,GT 20,,,,,Cleaning,25,LPT Blade† Stage1,Engine Design,337-127-712,10,2/10/2024,15/10/24,16/10/24,Completed,,,,Completed,Å«?«‰  „?“ò«—?
150,Aseman,,560230,CFM56-5C2/F,740284,"Cleaning, Inspection",6,"Outer, inner, dome, inner cow, outer cowl",Engine Shop,List,3,14/10/24,15/10/24,2/3/2025,Completed,Completed,,,Completed,"Å«?«‰  „?“ò«—?° «»·«€ »«“—”?° Å«?«‰ ”‰œ»·«” . «Ê — òÊ· »⁄œ «“ «‰Ã«„ UT  ÕÊ?· «‰»«— ›—œ?” „? »«‘œ. Å«?«‰ »«“—”? „Ê—Œ 1403/11/30° «⁄·«„ ⁄œ„ ‰?«“ »Â  ⁄„?—  Ê”ÿ „Ê Ê—. ﬁÿ⁄«  „ÊÃÊœ œ—«‰»«— Å?«„."
151,ATA,,560223,JT8D,725883†,"Cleaning, Inspection, Repair",6,3rd (5) & 4th (1) stg LPT Blade,„⁄«Ê‰  ò”» Ê ò«—,"798403, 822504",11,17/10/24,17/10/24,23/10/24,Completed,Completed,Completed,Completed,Completed,Å«?«‰ »«“—”? Ê  ⁄„?—.
152,ò«„?·« ‰?ò· ¬·?«é,,560245,V2500,,Inspection,313,"HPT Duct segment stg 2 & 1, Inner liner, Blade HPT stg 2",‰?ò· ¬·?«é,List,11,21/10/24,21/10/24,5/11/2024,Completed,Completed,,,Completed,Å«?«‰ »«“—”?
153,    Qeshm,,560207,CF6-80C2A,695372,695372,52,"HPT Shroud †Stage 2, HPT Vane Stage 2",Engine Shop 2,List,3,21/10/24,21/10/24,22/04/25,Completed,Completed,,,,"Å«?«‰  „?“ò«—?° Å«?«‰ »«“—”? „Ê—Œ 1404/02/03"
154,   Taban,,560209,JT8D-219,725441,"Cleaning, Inspection, Repair",64,HPT Blade Stage 1,Engine Shop 2,List,2,21/10/24,21/10/24,23/02/25,Completed,Completed,Completed,Completed,Completed,"Å«?«‰ »«“—”?°  ÕÊ?· NVO ÃÂ   ⁄„?—° Å«?«‰  ⁄„?—°  ÕÊ?· »Â  «»«‰"
156,Air 1,,560255,CFM56-3C1,"858594, 858719","Cleaning, Inspection, Repair",163,"C.C, Blade LPT stg 3",„⁄«Ê‰  ò”» Ê ò«—,List,5,28/10/24,28/10/24,,Completed,Completed,,,,"Å«?«‰  „?“ò«—?° Å«?«‰ »«“—”?° œ— „—Õ·Â  ⁄„?— „Ê—Œ 1403/11/15° ﬁÿ⁄«  1317M90G04-1317M89G08-1317M58G02 »—«? ÅÊ‘‘ «—”«· ê—œ?œ. „«»ﬁ? ﬁÿ⁄«  „Ê—Œ 1403/11/23 »Â «?—Ê«‰ ⁄Êœ  ê—œ?œ. Å«?«‰  ⁄„?—  ”  «Ê· „Õ›ŸÂ «Õ —«ﬁ „Ê—Œ 1403/12/12 Ê „ÊÃÊœ œ— «‰»«— ›—œ?”-  ⁄„?— »·?œ «” ?Ã 3 „«‰œÂ «” . ﬁÿ⁄«  ”  «Ê· »Â òÅ ·?”  «÷«›Â ê—œ?œ. ﬁÿ⁄«  ”  œÊ„ œ— òÅ ·?”  ‰?” "
157,ATA,,560223,JT8D,725883,"Cleaning, Inspection, Repair",4,3rd (2) & 4th (2) stg LPT Blade,„⁄«Ê‰  ò”» Ê ò«—,"798403, 822504",5,27/10/24,27/10/24,,Completed,Completed,,,,"Å«?«‰ »«“—”?° «—”«· »Â NVO ÃÂ   ⁄„?—"
159,ò«„?·« ,,"560260, 560261",JT8D,,"Cleaning, Inspection",172,"HPT-BLADE STG1 (80), NGV-STG1 (46+46)",NDT-QC,799191,3,28/10/24,28/10/24,,Completed,Completed,,,,"Å«?«‰ »«“—”? 46 ⁄œœ NGV  Ê ’œÊ— ›—„ 1° 29 ¬–—  ÕÊ?·  „‘ —? ‘œÂ «” "
160,Qeshm ,,560214,CFM56-5B4/P,779221,Cleaning,2509,Standard Parts,Engine Shop,List,11,28/10/24,3/11/2024,20/11/24,Completed,,,,Completed,Å«?«‰  „?“ò«—?
161,LLP (‘«Âœ shahed),,520031,JT8D-219 ,728135,"Cleaning, Inspection",4,"Shaft, disk",Engine Shop 2,"5000923-01, 777622, 777603, 800804",12,28/10/24,13/11/24,,Completed,Completed,,,, ”  «œ? ò«—‰  Ê ”Œ ? ”‰Ã? œ?”ò «” ?Ã 4 «‰Ã«„ ‘œ
162,Aseman,"5025213, 5026221",560102-560139,CFM56-5C2F,"740178, 740107","Cleaning, Inspection, Repair",3,"C.C: Outer, Inner, Dome",„⁄«Ê‰  ò”» Ê ò«—,"1968M64G01, 1968M44G06, 1561M26G05",5,13/10/24,13/10/24,,Completed,Completed,,,,"œ— „—Õ·Â  ⁄„?—° Ã«» ò«—œ  ⁄„?— «—”«· ‘œÂ «”  ."
163,Purchased parts (NVO),,560256,JT8D-217,,"Cleaning, Inspection",146,LPT Blade stg 3 & 4,„⁄«Ê‰  ò”» Ê ò«—,"798403, 822504",11,3/11/2024,30/10/24,9/11/2024,Completed,Completed,,,Completed,œ— «‰ Ÿ«— ’œÊ— ”—Ê?” «Ê—œ—
164,Aseman,,560230,CFM56-5C2/F,740284,Cleaning,358,Standard Parts,Engine Shop,List,12,14/11/24,20/11/24,9/12/2024,Completed,,,,Completed,
165,Aseman,,560230,CFM56-5C2/F,740284,"Cleaning, Inspection, Repair",1,"MANIFOLD, ASSY-CLG",Engine Shop,337-099-110-0,3,14/11/24,20/11/24,12/3/2025,Completed,Completed,,,Completed,"Å«?«‰  „?“ò«—?° Å«»«‰ »«“—”? œ—  «—?Œ 1403/10/22- Ã«» ò«—œ  ⁄„?— »Â  ⁄„?—«  «»·«€ ê—œ?œ. ⁄œ„ «„ò«‰  ⁄„?— œ«Œ·? Ê ⁄Êœ  ﬁÿ⁄Â »Â ›—œ?”"
166,Aseman,,560230,CFM56-5C2/F,740284,"Cleaning, Inspection (FPI)",93,"Shaft, Blade stg 1 & 2, Seal",Engine Shop,List,12,14/11/24,20/11/24,13/01/24,Completed,Completed,,,Completed,"Å«?«‰  „?“ò«—?° œ— „—Õ·Â »«“—”?° œ— «‰ Ÿ«—  √„?‰  ‰ŒÊ«Â? „ —?«· —?„Ê —«»—"
167,Qeshm ,,560267,CFM56,779913,"Cleaning, Inspection, Repair",1,HPT†FRONT SHAFT† † † † † †,„⁄«Ê‰  ò”» Ê ò«—,1498M40P05,11,17/11/24,19/11/24,7/11/2024,Completed,Completed,,,Completed,
168,Zagros,,560162,JT8D-217C,726987, Inspection,146,LPT Blade stg 3 & 4,Engine Shop,"798403, 822504",3,17/11/24,4/12/2024,15/03/25,Completed,Completed,Completed,Completed,Completed,Ã«» ò«—œ  ⁄„?—«  ”«?‰ ê—œ?œ.
170,GT 22,,,,,Cleaning,5,Disk,Engine Design,List,11,23/11/24,25/11/24,26/11/24,,,,,Completed,
171,Zagros,,560162,JT8D-217C,726987, Inspection (FPI),150,"Vane, Disk",Engine Shop,List,2,24/11/24,2/12/2024,2/2/2025,Completed,Completed,,,Completed,"Å«?«‰  „?“ò«—?° Å«?«‰ »«“—”?° Ê?‰ Â« »Â ›—œ?” ⁄Êœ  ê—œ?œ°  „?“ò«—? »⁄œ «“ FPI œ?”ò Â« »«ﬁ? „«‰œÂ «” ."
172,Zagros,,560161,JT8D-217A,717439, Inspection (FPI),72,"Vane, Disk",Engine Shop,List,12,24/11/24,2/12/2024,20/01/25,Completed,Completed,,,Completed,"Å«?«‰  „?“ò«—?° Å«?«‰ »«“—”?° Ê?‰ Â« »Â ›—œ?” ⁄Êœ  ê—œ?œ.  „?“ò«—? »⁄œ «“ FPI œ?”ò Â« „«‰œÂ «” ."
173,Air 1,,560097,CFM56-3C1,858594,"Cleaning, Inspection (FPI)",1,HPT FRONT SHAFT ,Engine Shop,1385M90P04,12,25/11/24,2/12/2024,18/12/24,Completed,Completed,,,Completed,Å«?«‰  „?“ò«—? Ê »«“—”?
174,Sahand Asia,,560021,JT8D-219,-,"Cleaning, Inspection, Repair",10,LPT Blade stg 3 & 4,„⁄«Ê‰  ò”» Ê ò«—,"798403, 822504",3,14/12/24,8/12/2024,17/02/25,Completed,Completed,Completed,Completed,Completed,Å«?«‰ »«“—”? Ê  ⁄„?—
175,Taban,,560224,CFM56-3C1,858811,Cleaning,6013,Engine/Module Part List,Engine Shop,List,12,8/12/2024,14/12/24,29/01/25,Completed,,,,Completed,
176,Aseman,,560230,CFM56-5C2/F,740284,"Cleaning, Inspection",80,"BLADE, HPT ROTOR",Engine Shop,2080M81P01,12,7/12/2024,24/12/24,13/01/25,Completed,Completed,,,Completed,Å«?«‰ »«“—”?
177,Aseman,5025213,560102,CFM56-5C,740178,Inspection,80,HPT BLADE,Engine Shop,2080M81P01,12,7/12/2024,24/12/24,3/2/2025,Completed,Completed,,,Completed,Å«?«‰ »«“—”?
178,Qeshm ,,560286,CF6,,"Cleaning, Inspection",113,"HPT Vane (24), HPT Blade (89)",„⁄«Ê‰  ò”» Ê ò«—,List,3,1/1/2025,1/1/2025,2/3/2025,Completed,Completed,,,Completed,"Å«?«‰ »«“—”?° œ— «‰ Ÿ«—  √??œ  ⁄„?—  Ê”ÿ ò«—›—„«"
179,Iran Air tour,,560229,JT8D,718555†,"Cleaning, Inspection, Repair",8,LPT Blade stg 3 & 4,„⁄«Ê‰  ò”» Ê ò«—,"798403, 822504",2,1/1/2025,1/1/2025,12/2/2025,Completed,Completed,Completed,Completed,Completed,»Â œ—ŒÊ«”  ¬ﬁ«? —÷«?? »Â ”—Ê?” «Ê—œ— 560229 «÷«›Â ê—œ?œ. Å«?«‰ »«“—”? 1/13/2025- Ã«» ò«—œ  ⁄„?— ¬„«œÂ «” . Å«?«‰  ⁄„?— „Ê—Œ 1403/11/24
180,Taban,Part 1,560224,CFM56-3C1,858811,Inspection FPI,1414,"Blade, Nozzle, Standard Part",Engine Shop,List,1,1/1/2025,14/12/24,4/2/2025,Completed,Completed,,,,Å«?«‰ »«“—”? FPI Ê  ÕÊ?· ﬁÿ⁄«  »Â ›—œ?”
181,Meraj,,560005,CFM56-5B5/P,575649,Repair (Tack weld),1,"COMBUSTION, CHAMBER ASSY",Engine Shop,1968M41G03,1,9/1/2025,15/01/24,27/01/25,,,Completed,,,‰?«“ »Â 80 ⁄œœ †Tack Weld† »?‰ Head Bolt Â«? „ ’· ‘œÂ »Â Outer liner Ê Inner cowl œ«—œ
182,Meraj (Paya soroush),,560292,TAY650,,"Cleaning, Inspaection",25,HPT NGV,„⁄«Ê‰  ò”» Ê ò«—,JR34272A,1,13/01/25,12/1/2025,13/01/25,Completed,Completed,,,Completed,›—„ 1 ’«œ— ê—œ?œ
183,Air 1,,560097,CFM56-3C1,858594,Coating,80,OGV,Engine Shop,"335-034-621-0, 335-034-623-0",5,18/01/25,25/01/25,,Completed,Completed,,,,"Å«?«‰  „?“ò«—?° Å«?«‰ »«“—”? ç‘„?° ÷—Ê—  ÅÊ‘‘ »—œ«—? ÃÂ  FPI° ÿÊ·«‰? »Êœ‰ “„«‰  √„?‰ „Ê«œ «Ê·?Â Œ«—Ã? ÃÂ  «⁄„«· ÅÊ‘‘ Å·? «Ê— «‰ "
184,Qeshm ,,560262,CFM56-5B4/P,779225,Cleaning,80,HPT Blade,Engine Shop,2100M96P02,1,23/01/25,25/01/25,25/01/25,Completed,,,,Completed,
185,GT 22,,,,,Cleaning,1,"Housing, Compressor Front Bearing",GT 22,R-2-100-250-07,2,3/2/2025,5/2/2025,5/4/2025,Completed,,,,,
187,Chabahar,RO-1403-668,560305,JT8D,,"Cleaning, Inspection",146,LPT Blade stg 3 & 4,„⁄«Ê‰  ò”» Ê ò«—,"798403, 822504",2,8/2/2025,6/2/2025,8/2/2025,Completed,Completed,,,Completed,
188,Kish Air,"5025649, 5026042, 5026346, 5025851","560306, 560141, 560119, 560136",CFM56-5B,,"Cleaning, Inspection, Repair",72,"HPT Nozzle (12), LPT Nozzle (15), HPT Shroud (42), Dome (2), Outer Liner (1)",„⁄«Ê‰  ò”» Ê ò«—,,3,4/2/2025,15/03/25,,Completed,completed,,,," Å«?«‰ »«“—”? ﬁÿ⁄« ° ?ò? «“ œ«„ Â«  ⁄„?— ”‰ê?‰? œ«—œ. «»·«€ «Ê — ·«?‰— Ê œ«„ »Â  ⁄„?—« . œÊ ⁄œœ LPT Nozzle segment stg 1 »« Å«—  ‰«„»— 338-108-608-0 Œ«—Ã «“ Õœ  ⁄„?— „? »«‘‰œ. ?ò œ«„ œ— òÅ ·?”  ‰?” - ⁄œ„ «„ò«‰  ⁄„?— LPT Nozzle œ—  ⁄„?— ﬁÿ⁄Â- ⁄œ„ «„ò«‰  ⁄„?— HPT Nozzle"
189,GT 20,,510001,CFM56-5B,,Sandblast,1,1st Stage LPT Blade,GT 20,337-127-712-0,2,15/02/25,17/02/25,17/02/25,Completed,,,,,
191,Qeshm,,560262,CFM56-5B4/P,779225,"Cleaning, FPI",1,HPT FRONT SHAFT ,Engine Shop,1498M40P05,3,20/02/25,22/02/25,5/3/2025,Completed,Completed,,,Completed,
192,Qeshm,,560262,CFM56-5B4/P,779225,Inspection FPI,2,"Duct, Retainer",Engine Shop,List,3,2/3/2025,5/3/2025,12/3/2025,,Completed,,,Completed,"»Â œ·?· ⁄œ„ «„ò«‰ ÅÊ‘‘ »—œ«—? Ê ÅÊ‘‘° 309 ﬁÿ⁄Â œ?ê— Å—ÊéÂ »œÊ‰ »«“—”? »Â „Ê Ê— ⁄Êœ  ê—œ?œ."
193,Taban,,560224,CFM56-3C1,858811,Inspection FPI,208,"Seal, Slide, Ö",Engine Shop,List,2,9/2/2025,8/2/2025,25/02/25,Completed,Completed,,,Completed,«Ã—«? »«“—”? FPI  Ê”ÿ Ê«Õœ NDT ¬ﬁ«? „⁄’Ê„ Å—”  «‰Ã«„ ê—œ?œ.  „?“ò«—? Å” «“ FPI  Ê”ÿ „Ê Ê— «‰Ã«„ ê—œ?œ.
